Proyecto,Alias,Sector,Subsector,Tipo de inversión,Moneda del contrato,Inversión (Millones MXN),Inversión (Millones USD),Alcances del contrato,Participación Banobras/Fonadin,Descripción,Tipo de proyecto,Tipo de contrato,Plazo de contrato,Proceso de selección,Registro de Unidad de Inversiones o equivalente,Anuncio/ Convocatoria,Recepción de propuestas,Fallo,Firma contrato,Inicio de ejecución/construcción,Inicio de operación,Término de la vigencia del contrato,Etapa,Subetapa,Nombre del adjudicatario del contrato,Empresas asociadas al adjudicatario,Estado(s),Entidad responsable,�?rea responsable,Observaciones,URL,Activo,Cantidad,Medida,Calidad,Activo 2,Cantidad 2,Medida 2,Calidad 2,Activo 3,Cantidad 3,Medida 3,Calidad 3,Activo 4,Cantidad 4,Medida 4,Calidad 4,Sostenibilidad,Redes de Alianza
1012 PODECIBI Parque Hidalgo,"POLO DE DESARROLLO DE ECONOMÍA CIRCULAR PARA EL BIENESTAR (PODECIBI) PARQUE HIDALGO, EN EL ESTADO DE HIDALGO.",Industria,Industria,Greenfield,Pesos mexicanos MXN,,,"Construcción,Administración",,"Los PODECIBI consisten en proyectos de producción sustentable de bienes, de eliminación de residuos o contaminación, para la reutilización, reciclaje o recuperación de materiales para mantenerlos en la economía durante el mayor tiempo posible, así como proyectos complementarios públicos de investigación y educación en materia de economía circular y sostenibilidad ambiental. El PODECIBI Parque Hidalgo consta de una superficie de 2´751,048.08 m2 ubicada en los municipios de Tlaxcoapan y Atitalaquia, estado de Hidalgo, misma que cumple los criterios de selección establecidos en el Decreto por el que se otorgan beneficios fiscales en los Polos de Desarrollo de Economía Circular para el Bienestar y en el Acuerdo por el que se emiten los Lineamientos para aplicar el Decreto por el que se otorgan beneficios fiscales en los Polos de Desarrollo de Economía Circular para el Bienestar, como a continuación se señalan: I. Criterio de localización, comunicación y conectividad. Se encuentra al sur del estado de Hidalgo, tiene acceso a la autopista 57D México-Querétaro, se encuentra a menos de 70 kilómetros de Ciudad de México y forma parte del corredor industrial del Valle de México, conectándose con centros urbanos como Tula de Allende, Tepeji del Río, Huehuetoca y Apaxco. Tiene cercanía con el Aeropuerto Internacional Felipe Ángeles. II. Criterio poblacional. 411,111 habitantes en los municipios de Tlaxcoapan, Atitalaquia y aledaños. III. Criterio de propiedad. De conformidad con Pemex y la documentación puesta a disposición de la Secretaría de Medio Ambiente y Recursos Naturales, el predio es de propiedad pública federal. IV. Criterio de sostenibilidad. De acuerdo con la Comisión Nacional de Áreas Naturales Protegidas, el predio no se encuentra ni total ni parcialmente en áreas naturales protegidas, ni en zonas sujetas a algún régimen especial de conservación, restauración o protección ecológica y no se superpone con sitios Ramsar, reservas de la biosfera, zonas de conservación comunitaria o cualquier otra categoría reconocida por la normatividad ambiental aplicable. V. Criterio de consulta a los pueblos y comunidades indígenas y afromexicanas. El Instituto Nacional de los Pueblos Indígenas, informó que no se ubican localidades dentro de esa superficie. VI. Criterio educativo y de investigación. Pemex, manifestó su conformidad de asignar 2% de la construcción del predio a instituciones públicas para realizar investigación o educación en materia de economía circular.",Público / Privado,,,,,,,,,,,,Preinversión,Preparación,,,Hidalgo,Secretaría de Medio Ambiente y Recursos Naturales,false,"Conforme al Decreto por el que se otorgan beneficios fiscales en los Polos de Desarrollo de Economía Circular para el Bienestar, y el Acuerdo por el que se emiten los Lineamientos para aplicar el Decreto por el que se otorgan beneficios fiscales en los Polos de Desarrollo de Economía Circular para el Bienestar, los Desarrolladores o empresas de economía circular del Polo Parque Hidalgo, deben cumplir ante la Semarnat, entre otros, con el reporte trimestral de aportaciones netas a la descontaminación local, municipal o regional, según corresponda, de acuerdo con su alcance. Para conservar dichos estímulos fiscales, los Desarrolladores y las empresas de economía circular deben presentar, ante la Dirección General de Fomento y Desempeño Urbano Ambiental Sostenible de la Subsecretaría de Desarrollo Sostenible y Economía Circular de la Semarnat, un informe anual que contenga los avances de su proyecto y el cumplimiento de las metas fijadas por esta autoridad, las cuales deben incluir, al menos, la trazabilidad de los materiales generados, los cuales deben acreditarse en los términos que defina la Semarnat.",https://www.proyectosmexico.gob.mx/proyecto_inversion/1012-podecibi-parque-hidalgo/,,,,,,,,,,,,,,,,,,
1011 CFE: SE Atención al suministro en la zona Vallarta,"ejecución de obras: subestaciones eléctricas, en los estados de jalisco y nayarit.",Electricidad,Transmisión / Distribución,Brownfield,Dólares americanos USD,187,10,"Ampliación,Equipamiento,Instalación",,"El proyecto consiste principalmente en la ejecución de las siguientes obras: - 3 subestaciones con tensiones de 230 kV y 115 kV, SE Nuevo Vallarta Banco 2, SE Vallarta I y SE Vallarta Potencia, con una capacidad total de 225 MVA de transformación, que se localizan en los estados de Jalisco y Nayarit. Dentro del alcance de las obras se incluye el suministro de equipos y materiales de instalación permanente, desarrollo de ingeniería asociada a los conceptos de diseño electromecánico y civil, ejecución de las obras electromecánicas y civil, realización de pruebas preoperativas, así como la elaboración, análisis y evaluación de los estudios requeridos (estudios geotécnicos, levantamientos topográficos y resistividad) y la impartición de programas de capacitación y entrenamiento. - El concursante debe incorporar un porcentaje de contenido nacional cuando menos del 11.10% hasta el 40% sobre el valor total del proyecto y respecto a la mano de obra, debe incorporar al menos el 90% nacional, considerando el total de las actividades realizadas por especialistas, técnicos y administrativos nacionales - Contrato de obra llave en mano a precio alzado. - La Comisión Federal de Electricidad, CFE, no otorgará ningún anticipo. - El precio máximo de contratación al que la CFE considera susceptible la adjudicación del contrato es por la cantidad de USD $10,482,758.68. - Clave del proyecto: 2253TVV0001.",Público,Obra Pública Financiada,,Licitación Pública Internacional,,24/07/2025,24/09/2025,21/10/2025,18/11/2025,20/11/2025,,12/02/2027,Ejecución,,Consorcio Ingenieros de Guanajuato,,"Jalisco,Nayarit",Comisión Federal de Electricidad,false,Fecha de firma de contrato y fecha de ejecución de acuerdo a lo establecido en el fallo.,https://www.proyectosmexico.gob.mx/proyecto_inversion/1011-cfe-se-atencion-al-suministro-en-la-zona-vallarta/,Estación/ Subestación Eléctrica,75,MVA,,Estación/ Subestación Eléctrica,30,MVA,,Estación/ Subestación Eléctrica,100,MVA,,,,,,,
"1010 PODECOBI Puerta Logística del Bajío, Guanajuato","POLO DE DESARROLLO ECONÓMICO PARA EL BIENESTAR (PODECOBI) PUERTA LOGÍSTICA DEL BAJÍO, EN EL ESTADO DE GUANAJUATO.",Industria,Industria,Greenfield,Pesos mexicanos MXN,,,"Construcción,Administración",,"Los PODECOBI son ecosistemas productivos articulados, donde el Estado actúa como promotor de inversión, impulsor de capacidades locales y facilitador de servicios públicos y logísticos. Diseñados para impulsar la actividad económica y promover la prosperidad compartida a partir de los efectos económicos y sociales. El PODECOBI Puerta Logística del Bajío consta de una superficie de 52.40 hectáreas, misma que cumple los criterios de selección establecidos en el Acuerdo por el que se emiten los Lineamientos para los Polos de Desarrollo Económico para el Bienestar, publicado en el Diario Oficial de la Federación el 22 de mayo de 2025. Las características del polo y municipios aledaños son las siguientes: I. Macrolocalización: Celaya, Guanajuato. II. Comunicación y conectividad: se encuentra a 5 kilómetros de la Carretera No. 51 y a 2 kilómetros de la carretera 45D, cuenta con acceso directo a vías férreas (CPKC Y Ferromex) y a 15 kilómetros del aeropuerto de la Ciudad de Celaya. III. Poblacional: 1,066,624 habitantes en el municipio de Celaya y aledaños. IV. Factibilidad social: el Instituto Nacional de los de los Pueblos Indígenas determinó que no era procedente llevar a cabo el proceso de consulta indígena. V. Educativo: instituciones de educación superior y media superior en el PODECOBI y municipios aledaños. VI. Territorial: para el desarrollo de actividades productivas en el PODECOBI son vocaciones productivas, prioritarias y potenciales las siguientes: · Industria; · Manufacturera avanzada; · Logística y transporte; · Agroindustria de valor agregado; · Tecnologías de la información y servicios empresariales; · Automotriz, y · Aeroespacial. VII. Factibilidad industrial: el PODECOBI tiene uso de suelo compatible con las actividades previstas, según el Programa Municipal de Desarrollo Urbano y Ordenamiento Ecológico Territorial de Celaya. VIII. Sostenibilidad: La Secretaría de Medio Ambiente y Recursos Naturales dictaminó que el polo es viable en materia ambiental al ubicarse en una zona ya impactada, clasificada como asentamiento humano e industrial, sin vegetación forestal, por lo que no requiere autorización de cambio de uso de suelo. IX. Servicios e infraestructura: cuenta con los servicios e infraestructura básicos para el desarrollo de las actividades productivas. Dispone de vialidades, energía eléctrica, agua potable, drenaje y conectividad. X. Propiedad: los predios que conforman el área del PODECOBI son propiedad del Gobierno del Estado.",Público / Privado,,,,,,,,,,,,Preinversión,Preparación,,,Guanajuato,Secretaría de Economía,false,,https://www.proyectosmexico.gob.mx/proyecto_inversion/1010-podecobi-puerta-logistica-del-bajio-guanajuato/,,,,,,,,,,,,,,,,,,
1009 Programa Nacional de Tecnificación de Riego “México se tecnifica”,"Programa Nacional de Tecnificación de Riego ""México se tecnifica""",Agua y Medio Ambiente,,Greenfield,Pesos mexicanos MXN,"62,867","3,398","Construcción,Modernización,Equipamiento,Instalación,Mantenimiento",,"El programa busca tecnificar el riego para producir más con menos agua, destinar el sobrante a consumo humano y a recarga de acuíferos. Se realizarán revestimientos de canales, entubado de canales, revestimiento de caminos, colocación de estructuras aforadoras automatizadas, compuertas automatizadas y mantenimiento de estructuras tipo y especiales, rectificación de la red de drenaje y reforzamiento de bordos de protección, equipamiento de plantas de bombeo, relocalización y reposición de pozos profundos, construcción de canaletas, entubado de las redes de distribución en pozos, sistemas de riego por goteo, microaspersión, aspersión, o multicompuertas, etc., sustitución y complementación de fuentes de energía convencional con renovables, instalación de drenaje parcelario y nivelación de tierras. Inversión: 62,867 mdp Promotor: Comisión Nacional del Agua (Conagua) Metas: - Tecnificar más de 200 mil hectáreas - Beneficiar al menos 225 mil productores agrícolas - Destinar 2 mil 800 millones de metros cúbicos para consumo humano. - Para 2025 se tiene considerada una inversión de 5 mil 200 mdp, de los cuales 4 mil 620 mdp corresponden a recursos federales y el resto será aportado por los usuarios y los gobiernos de los estados.",Público,Obra Pública Tradicional,,Licitación Pública,,,,,,,,,Licitación,,,,"Aguascalientes,Chihuahua,Coahuila,Durango,Guanajuato,Hidalgo,Michoacán,Morelos,Sinaloa,Sonora,Tamaulipas",Comisión Nacional del Agua,false,,https://www.proyectosmexico.gob.mx/proyecto_inversion/1009-programa-nacional-de-tecnificacion-de-riego/,,,,,,,,,,,,,,,,,,
"1008 Hospital Regional de Alta Especialidad en San Lorenzo Cacaotepec, Oaxaca","CONSTRUCCIÓN Y EQUIPAMIENTO DE UN Hospital Regional de Alta Especialidad en San Lorenzo Cacaotepec, EN EL ESTADO DE Oaxaca.",Infraestructura Social,Salud,Greenfield,Pesos mexicanos MXN,"3,000",162,"Construcción,Equipamiento",,"El proyecto consiste en la construcción y equipamiento de un Hospital Regional de Alta Especialidad en San Lorenzo Cacaotepec, Oaxaca. Las características del hospital, entre otras, son las siguientes: - 46 consultorios de especialidades médicas, con 36 especialidades; ubicados en los servicios de consulta externa de especialidades, inhaloterapia, unidad de diálisis, en medicina física y centro oncológico. - Hospitalización 250 camas: 228 camas para adultos y 22 camas pediátricas - Quirófanos: 10 salas quirúrgicas - 6 secciones de laboratorio - Cuartos, consultorios y salas de imagenología, urgencias, tococirugía, hemodiálisis, diálisis peritoneal, unidad de trasplantes, resonancia magnética, entre otros. - Oficinas administrativas, aulas, auditorio, instalaciones de abastecimiento y servicios, estacionamiento y helipuerto",Público,Obra Pública Tradicional,,Licitación Pública Nacional,,15/07/2025,28/07/2025,04/08/2025,,08/08/2025,,30/03/2027,Ejecución,,"Ingeniería y Desarrollo Inmobiliario de México, S.A. de C.V.",,Oaxaca,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,false,,https://www.proyectosmexico.gob.mx/proyecto_inversion/1008-hospital-regional-de-alta-especialidad-en-san-lorenzo-cacaotepec-oaxaca/,Hospital,250,camas,,,10,quirófanos,,,46,consultorios,,,,,,,Si
1007 Plan Integral de la Zona Oriente del Estado de México,Plan Integral de la Zona Oriente del Estado de México,Agua y Medio Ambiente,,Greenfield,Pesos mexicanos MXN,"75,786","4,097",false,,"El Plan Integral de la Zona Oriente del Estado de México es una iniciativa del Gobierno Federal que tiene por objeto hacer justicia a millones de mexiquenses en donde se atiende de manera integral la movilidad, la seguridad, la vivienda, los servicios públicos, la salud y la educación. En este plan participan además del Gobierno Federal, el gobierno estatal y los municipios que lo integran y contará con 121 programas y acciones de tipo social y urbano. Municipios beneficiados: Chalco, Chicoloapan, Chimalhuacán, Ecatepec, Ixtapaluca, La Paz, Naucalpan, Nezahualcóyotl, Texcoco, Tlalnepantla y Valle de Chalco. Población atendida: 10 millones de personas Inversión: 75,786 mdp, de los cuales el Gobierno Federal aporta 60 por ciento, el gobierno del estado 30 por ciento y los municipios 10 por ciento. Instituciones del Gobierno de México que participan: Secretaría de Gobernación, Secretaría de Infraestructura, Comunicaciones y Transportes, Secretaría de Desarrollo Agrario, Territorial y Urbano, Secretaría de Ciencia y Humanidades, Tecnología, Innovación, Secretaría de Educación Pública, Secretaría de Bienestar, Secretaría de Salud, Instituto Mexicano del Seguro Social, Instituto Mexicano del Seguro Social Bienestar, Comisión Nacional del Agua. El plan cuenta con 121 programas y acciones: - Educación: Centros de Bachillerato y Universidades “Rosario Castellanos”. - Salud: Construcción de Hospitales, Clínicas y CECIS. - Infraestructura hidráulica, agua potable y drenaje. - Transporte público. - Construcción de puentes vehiculares. - Pavimentación y bacheo. - Iluminación de Senderos Seguros. - Renovación de transporte urbano de pasajeros. - Programa de Mejoramiento de Vivienda para el Bienestar. - Regularización de suelos y vivienda",Público,Obra Pública Tradicional,,,,,,,,,,,Licitación,,,,Estado de México,,false,,https://www.proyectosmexico.gob.mx/proyecto_inversion/1007-plan-integral-de-la-zona-oriente-del-estado-de-mexico/,,,,,,,,,,,,,,,,,,
"1006 PODECOBI Parque Industrial Bajío, Michoacán","POLO DE DESARROLLO ECONÓMICO PARA EL BIENESTAR (PODECOBI) PARQUE INDUSTRIAL BAJÍO, EN EL ESTADO DE MICHOACÁN.",Industria,Industria,Greenfield,Pesos mexicanos MXN,,,"Construcción,Administración",,"Los PODECOBI son ecosistemas productivos articulados, donde el Estado actúa como promotor de inversión, impulsor de capacidades locales y facilitador de servicios públicos y logísticos. Diseñados para impulsar la actividad económica y promover la prosperidad compartida a partir de los efectos económicos y sociales. El PODECOBI Parque Industrial Bajío consta de una superficie de 342.08 hectáreas, misma que cumple los criterios de selección establecidos en el Acuerdo por el que se emiten los Lineamientos para los Polos de Desarrollo Económico para el Bienestar, publicado en el Diario Oficial de la Federación el 22 de mayo de 2025. Las características del polo y municipios aledaños son las siguientes: I. Macrolocalización: Zinapécuaro, Michoacán. II. Comunicación y conectividad: cercano a importantes vías de comunicación, como la Carretera Federal 15 y la autopista México-Morelia-Guadalajara y al Aeropuerto Internacional de Morelia a poco más de 7 km y acceso directo a la red férrea a cargo de Kansas City Southern de México S. A. de C. V. III. Poblacional: 425,935 habitantes en los municipios de Zinapécuaro, Álvaro Obregón y aledaños. IV. Factibilidad social: el Instituto Nacional de los de los Pueblos Indígenas informó no identificarse unidad indígena titular del derecho a la consulta. V. Educativo: instituciones de educación superior y media superior en el PODECOBI y municipios aledaños. VI. Territorial: para el desarrollo de actividades productivas en el PODECOBI son vocaciones productivas, prioritarias y potenciales las siguientes: · Agroindustrial; · Automotriz y autopartes; · Electrodomésticos; · Logístico y, · Maquinaria y Equipo. VII. Factibilidad industrial: el PODECOBI cuenta con uso de suelo industrial. VIII. Sostenibilidad: La Secretaría de Medio Ambiente y Recursos Naturales dictaminó que el polo es viable en materia ambiental, sujeto al cumplimiento de los requisitos normativos aplicables y a la integración de medidas específicas para protección ecológica y gestión hídrica. IX. Servicios e infraestructura: cuenta con los servicios e infraestructura básicos para el desarrollo de las actividades productivas. Dispone de vialidades, energía eléctrica, agua potable, drenaje y conectividad. X. Propiedad: los predios que conforman el área del PODECOBI son de propiedad pública estatal.",Público / Privado,,,,,,,,,,,,Preinversión,Preparación,,,Michoacán,Secretaría de Economía,false,"El 7 de agosto de 2025, se anunció la primera inversión por mil millones de pesos por parte de la empresa moreliana Citelis para el Polo de Desarrollo Económico para el Bienestar “Parque Industrial Bajío” que se instalará en el municipio de Zinapécuaro; con esta inversión de infraestructura público privada, como parte de una primera etapa, se pone en marcha el primer Polo de Desarrollo Económico para el Bienestar, que forma parte del Plan México.",https://www.proyectosmexico.gob.mx/proyecto_inversion/1006-podecobi-parque-industrial-bajio-michoacan/,,,,,,,,,,,,,,,,,,
"1005 PODECOBI Reserva Zapotlán, Hidalgo","POLO DE DESARROLLO ECONÓMICO PARA EL BIENESTAR (PODECOBI) Reserva Zapotlán, EN EL ESTADO DE HIDALGO.",Industria,Industria,Greenfield,Pesos mexicanos MXN,,,"Construcción,Administración",,"Los PODECOBI son ecosistemas productivos articulados, donde el Estado actúa como promotor de inversión, impulsor de capacidades locales y facilitador de servicios públicos y logísticos. Diseñados para impulsar la actividad económica y promover la prosperidad compartida a partir de los efectos económicos y sociales. El PODECOBI Reserva Zapotlán consta de una superficie de 910.82 hectáreas, misma que cumple los criterios de selección establecidos en el Acuerdo por el que se emiten los Lineamientos para los Polos de Desarrollo Económico para el Bienestar, publicado en el Diario Oficial de la Federación el 22 de mayo de 2025. Los características del polo y municipios aledaños son las siguientes: I. Macrolocalización: Zapotlán de Juárez, Hidalgo. II. Comunicación y conectividad: Cuenta con acceso a la carretera federal México–Pachuca y al Arco Norte. Se ubica a 29 km del Aeropuerto Internacional Felipe Ángeles y a 12 km del Aeropuerto de Pachuca. El inmueble tiene acceso a ductos de Pemex a 4 km. III. Poblacional: 466,929 habitantes en Pachuca de Soto y municipios aledaños de Zapotlán de Juárez. IV. Factibilidad social: El Instituto Nacional de los Pueblos Indígenas informó no identificarse comunidad indígena titular del derecho a la consulta. V. Educativo: instituciones de educación superior y media superior en el PODECOBI y municipios aledaños. VI. Territorial: Para el desarrollo de actividades productivas en el PODECOBI son vocaciones productivas, prioritarias y potenciales las siguientes: · Logístico · Manufactura · Farmacéutico y dispositivos médicos · Automotriz · Aeroespacial VII. Factibilidad industrial: El polígono destinado tiene un uso logístico, industrial y de servicios VIII. Sostenibilidad: La SEMARNAT dictaminó que el proyecto es viable ambientalmente, sujeto al cumplimiento de la normativa aplicable. No se localiza en Áreas Naturales Protegidas ni sobre tierras indígenas. IX. Servicios e infraestructura: Cercano al ducto de gas natural CENAGAS (a 4 km) y con disponibilidad de electricidad. Tiene acceso directo a infraestructura carretera y está próximo a subestaciones eléctricas clave. Se estima que en su etapa madura este PODECOBI alcance una demanda de electricidad de 20 MW. X. Propiedad: Los predios son de propiedad pública estatal.",Público / Privado,,,,,,,,,,,,Preinversión,Preparación,,,Hidalgo,Secretaría de Economía,false,,https://www.proyectosmexico.gob.mx/proyecto_inversion/1005-podecobi-reserva-zapotlan-hidalgo/,,,,,,,,,,,,,,,,,,
"1004 PODECOBI Capital de la Tecnología y la Sostenibilidad, Puebla","POLO DE DESARROLLO ECONÓMICO PARA EL BIENESTAR (PODECOBI) Capital de la Tecnología y la Sostenibilidad, EN EL ESTADO DE Puebla.",Industria,Industria,Greenfield,Pesos mexicanos MXN,,,"Construcción,Administración",,"Los PODECOBI son ecosistemas productivos articulados, donde el Estado actúa como promotor de inversión, impulsor de capacidades locales y facilitador de servicios públicos y logísticos. Diseñados para impulsar la actividad económica y promover la prosperidad compartida a partir de los efectos económicos y sociales. El PODECOBI Capital de la Tecnología y la Sostenibilidad consta de una superficie de 217.68 hectáreas, misma que cumple los criterios de selección establecidos en el Acuerdo por el que se emiten los Lineamientos para los Polos de Desarrollo Económico para el Bienestar, publicado en el Diario Oficial de la Federación el 22 de mayo de 2025. Las características del polo y municipios aledaños son las siguientes: I. Macrolocalización: región centro-oriente del estado de Puebla. II. Comunicación y conectividad: se encuentra cerca de la autopista Amozoc-Perote y del Arco Norte, dos corredores logísticos clave que permiten la conexión directa con el Valle de México, Veracruz, Tlaxcala y la zona metropolitana de Puebla. III. Poblacional: 245,203 habitantes en los municipios de San José Chiapa, Nopalucan y aledaños. IV. Factibilidad social: el Instituto Nacional de los de los Pueblos Indígenas informó que no se ubican localidades ni núcleos agrarios certificados dentro de la superficie del proyecto. V. Educativo: instituciones de educación superior y media superior en el PODECOBI y municipios aledaños. VI. Territorial: para el desarrollo de actividades productivas en el PODECOBI son vocaciones productivas, prioritarias y potenciales las siguientes: · Manufacturera avanzada · Industria automotriz · Industria textil especializada · Electrónica · Industria química · Industria del plástico y del hule VII. Factibilidad industrial: el uso de suelo permite actividades industriales. VIII. Sostenibilidad: la Secretaría de Medio Ambiente y Recursos Naturales determinó que es viable el Polo ya que el polígono se ubica en zona clasificada como asentamiento humano e industrial, ya impactada y sin vegetación forestal, por lo que no requiere autorización de cambio de uso de suelo en terrenos forestales. IX. Servicios e infraestructura: cuenta con los servicios e infraestructura básicos para el desarrollo de las actividades productivas. Dispone de vialidades, energía eléctrica, agua potable, drenaje y conectividad. X. Propiedad: los predios que conforman el área del PODECOBI son de propiedad pública estatal.",Público / Privado,,,,,,,,,,,,Preinversión,Preparación,,,Puebla,Secretaría de Economía,false,,https://www.proyectosmexico.gob.mx/proyecto_inversion/1004-podecobi-futura-capital-de-la-tecnologia-y-la-sostenibilidad-puebla/,,,,,,,,,,,,,,,,,,
"1003 PODECOBI Chetumal, Quintana Roo","POLO DE DESARROLLO ECONÓMICO PARA EL BIENESTAR (PODECOBI) CHETUMAL, EN EL ESTADO DE QUINTANA ROO.",Industria,Industria,Greenfield,Pesos mexicanos MXN,,,"Construcción,Administración",,"Los PODECOBI son ecosistemas productivos articulados, donde el Estado actúa como promotor de inversión, impulsor de capacidades locales y facilitador de servicios públicos y logísticos. Diseñados para impulsar la actividad económica y promover la prosperidad compartida a partir de los efectos económicos y sociales. El PODECOBI Chetumal consta de una superficie de 87.80 hectáreas, misma que cumple los criterios de selección establecidos en el Acuerdo por el que se emiten los Lineamientos para los Polos de Desarrollo Económico para el Bienestar, publicado en el Diario Oficial de la Federación el 22 de mayo de 2025. Las características del polo y municipios aledaños son las siguientes: I. Macrolocalización: extremo sur de Quintana Roo. II. Comunicación y conectividad: conectividad terrestre, mediante la carretera federal 186 Escárcega - Chetumal. El Aeropuerto Internacional de Chetumal y un estación del Tren Maya se ubican a 3.5 km y el puerto marítimo Chetumal a 2 km. III. Poblacional: 275,402 habitantes es la población total de Othón P. Blanco, Bacalar y Bacalar IV. Factibilidad social: El Instituto Nacional de los Pueblos Indígenas informó que no era procedente llevar a cabo el proceso de consulta indígena V. Educativo: instituciones de educación superior y media superior en el PODECOBI y municipios aledaños. VI. Territorial: Para el desarrollo de actividades productivas en el PODECOBI son vocaciones productivas, prioritarias y potenciales las siguientes: · Energía eléctrica; · Industria textil; · Metalurgia; · Maquinaria y equipo; · Agroindustria; · Tecnologías de la información y Comunicación; · Actividades industriales y comercio internacional; · Almacenamiento y distribución de mercancías. VII. Factibilidad industrial: se señala el uso de suelo de ""Parque Industrial con Recinto Fiscalizado - Polígono de actuación sujeto a programa parcial de desarrollo urbano"". VIII. Sostenibilidad: conforme al dictamen individual de la Secretaría de Medio Ambiente y Recursos Naturales es viable en materia ambiental, sujeto al cumplimiento de los requisitos normativos aplicables y a la integración de medidas específicas para protección ecológica y gestión hídrica. Asimismo, no se localiza dentro de Áreas Naturales Protegidas ni de tierras de pueblos indígenas. IX. Servicios e infraestructura: dispone de vialidades, energía eléctrica, agua potable y conectividad. X. Propiedad: los predios que conforman el área del PODECOBI son de propiedad pública estatal.",Público / Privado,,,,,,,,,,,,Preinversión,Preparación,,,Quintana Roo,Secretaría de Economía,false,,https://www.proyectosmexico.gob.mx/proyecto_inversion/1003-podecobi-chetumal-quintana-roo/,,,,,,,,,,,,,,,,,,
"1002 PODECOBI San Jerónimo, Chihuahua","POLO DE DESARROLLO ECONÓMICO PARA EL BIENESTAR (PODECOBI) SAN JERÓNIMO, EN EL ESTADO DE CHIHUAHUA.",Industria,Industria,Greenfield,Pesos mexicanos MXN,,,"Construcción,Administración",,"Los PODECOBI son ecosistemas productivos articulados, donde el Estado actúa como promotor de inversión, impulsor de capacidades locales y facilitador de servicios públicos y logísticos. Diseñados para impulsar la actividad económica y promover la prosperidad compartida a partir de los efectos económicos y sociales. El PODECOBI San Jerónimo consta de una superficie de 60.31 hectáreas, misma que cumple los criterios de selección establecidos en el Acuerdo por el que se emiten los Lineamientos para los Polos de Desarrollo Económico para el Bienestar, publicado en el Diario Oficial de la Federación el 22 de mayo de 2025. Las características del polo y municipios aledaños son las siguientes: I. Macrolocalización: Ciudad Juárez, Chihuahua. II. Comunicación y conectividad: límite fronterizo con Estados Unidos de América, colindancia con Santa Teresa y Nuevo México a 15 km de la red férrea, a 800m de la zona urbana de Ciudad Juárez, a 25.3 km del aeropuerto. III. Poblacional: 1,557,415 es la población total de los municipios de Juárez, Ascensión, Ahumada y Guadalupe. IV. Factibilidad social: El Instituto Nacional de los Pueblos Indígenas informó que no se ubican localidades ni núcleos agrarios certificados dentro de la superficie del proyecto. V. Educativo: instituciones de educación superior y media superior en el PODECOBI y municipios aledaños. VI. Territorial: Para el desarrollo de actividades productivas en el PODECOBI son vocaciones productivas, prioritarias y potenciales las siguientes: logística, centro de innovación industrial, automotriz, electromovilidad, dispositivos médicos, servicios tecnológicos. VII. Factibilidad industrial: El inmueble destinado al PODECOBI cuenta con uso de suelo industrial y con infraestructura urbana básica de acuerdo con el Plan de Desarrollo Urbano Sostenible 2016. VIII. Sostenibilidad: Conforme al dictamen individual de la Secretaría de Medio Ambiente y Recursos Naturales es viable en materia ambiental, no se encuentra dentro de Áreas Naturales Protegidas ni Áreas Destinadas Voluntariamente a la Conservación, pero presenta conectividad ecológica destacada. IX. Servicios e infraestructura: el municipio tiene amplia experiencia en parques industriales, concentran el 60% a nivel estatal. El predio se localiza cerca del paso fronterizo. La infraestructura disponible dentro del predio incluye gas y electricidad. X. Propiedad: los predios que conforman el área del PODECOBI son de propiedad pública estatal.",Público / Privado,,,,,,,,,,,,Preinversión,Preparación,,,Chihuahua,Secretaría de Economía,false,,https://www.proyectosmexico.gob.mx/proyecto_inversion/1002-podecobi-san-jeronimo-chihuahua/,,,,,,,,,,,,,,,,,,
